temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,hour,day,month,day_of_week,is_weekend,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_6h,pm2_5_lag_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_6h,pm10_lag_24h,nitrogen_dioxide_lag_1h,nitrogen_dioxide_lag_2h,nitrogen_dioxide_lag_6h,nitrogen_dioxide_lag_24h,sulphur_dioxide_lag_1h,sulphur_dioxide_lag_2h,sulphur_dioxide_lag_6h,sulphur_dioxide_lag_24h,carbon_monoxide_lag_1h,carbon_monoxide_lag_2h,carbon_monoxide_lag_6h,carbon_monoxide_lag_24h,pm2_5_roll_mean_6h,pm2_5_roll_std_6h,pm2_5_roll_mean_24h,pm2_5_roll_std_24h,pm10_roll_mean_6h,pm10_roll_std_6h,pm10_roll_mean_24h,pm10_roll_std_24h,nitrogen_dioxide_roll_mean_6h,nitrogen_dioxide_roll_std_6h,nitrogen_dioxide_roll_mean_24h,nitrogen_dioxide_roll_std_24h,sulphur_dioxide_roll_mean_6h,sulphur_dioxide_roll_std_6h,sulphur_dioxide_roll_mean_24h,sulphur_dioxide_roll_std_24h,carbon_monoxide_roll_mean_6h,carbon_monoxide_roll_std_6h,carbon_monoxide_roll_mean_24h,carbon_monoxide_roll_std_24h
29.3,79,0.0,1000.5648,11.886816,237,20,1,6,0,0,25.1,25.4,32.0,21.1,51.9,52.5,73.6,41.4,16.2,15.7,10.6,8.6,6.7,6.6,6.0,5.2,183.0,202.0,224.0,133.0,28.73333333333333,2.897355115733357,25.69583333333333,4.54575570477958,61.81666666666667,8.921752443699921,56.84583333333333,12.486513739323732,14.033333333333331,2.0963460274169115,8.225,3.986526220200718,6.3500000000000005,0.2738612787525589,6.016666666666667,0.6994822101517891,206.33333333333331,13.544986772480105,203.0,49.549272797717215
29.3,78,0.1,1002.4578,2.1068459,199,21,1,6,0,0,25.2,25.1,31.1,20.1,49.6,51.9,69.8,39.1,16.5,16.2,12.7,8.0,6.8,6.7,6.1,5.0,158.0,183.0,212.0,124.0,27.6,2.686261342460864,25.86666666666667,4.44137333506756,57.81666666666666,7.904281540194886,57.1875,12.153235836778178,15.016666666666666,1.4469508169480585,8.554166666666665,4.330175131177337,6.483333333333333,0.2639444385976938,6.083333333333333,0.6944917858259384,195.33333333333331,21.049148834730985,204.04166666666663,48.25969527883271
29.35,78,0.0,1002.0599,3.6,180,22,1,6,0,0,24.8,25.2,29.9,20.1,46.7,49.6,63.8,39.8,16.2,16.5,14.0,7.8,6.9,6.8,6.3,5.0,143.0,158.0,209.0,117.0,26.55,2.238526300939903,26.0625,4.276611061800326,53.96666666666666,6.378610088935188,57.50416666666666,11.753906997681517,15.6,0.9444575162493972,8.895833333333332,4.599667205983178,6.616666666666666,0.231660671385218,6.1625000000000005,0.6736096792653671,183.83333333333331,27.866945772126737,204.83333333333331,47.02974698474644
29.15,80,0.0,1002.15704,4.6277857,193,23,1,6,0,0,24.6,24.8,28.9,19.4,47.0,46.7,59.3,38.5,15.1,16.2,15.0,7.8,6.9,6.9,6.4,5.1,142.0,143.0,208.0,115.0,25.666666666666668,1.6095548038716776,26.25,4.098780306383823,51.16666666666666,4.652597840633327,57.80416666666667,11.367936571078303,15.783333333333331,0.6242328625334019,9.2,4.762534947948916,6.716666666666666,0.1940790217067486,6.241666666666667,0.6419512826339339,172.66666666666666,29.159332411196385,205.875,45.24264292822013
28.9,81,0.0,1002.5524,7.9932966,144,0,2,6,1,0,24.0,24.6,25.4,18.9,46.6,47.0,52.5,40.9,13.5,15.1,15.7,5.9,6.8,6.9,6.6,5.0,150.0,142.0,202.0,130.0,24.850000000000005,0.504975246917875,26.441666666666663,3.865445209373239,49.05,2.685330519693866,58.14166666666667,10.879654592769596,15.533333333333331,1.111155554666694,9.4375,4.831312046117134,6.783333333333334,0.1169045194449205,6.3125,0.6031169040907329,163.0,24.31460466468616,207.33333333333331,42.677421651741945
28.75,82,0.0,1003.04865,6.037383,153,1,2,6,1,0,24.2,24.0,25.1,19.4,42.0,46.6,51.9,40.4,21.1,13.5,16.2,7.0,9.6,6.8,6.7,5.6,171.0,150.0,183.0,183.0,24.65,0.4806245936276864,26.662500000000005,3.5547656316066782,47.3,3.3310658954754118,58.1875,10.805928827550574,16.433333333333334,2.54060360282092,10.070833333333333,5.319077982104621,7.283333333333334,1.137394683769289,6.504166666666666,0.8487736251007428,157.83333333333334,16.36357744097063,209.04166666666663,40.19569430398862
29.45,79,0.0,1003.3563,6.7853074,158,2,2,6,1,0,25.6,24.2,25.2,23.3,49.5,42.0,49.6,55.5,17.9,21.1,16.5,8.5,9.4,9.6,6.8,6.5,217.0,171.0,158.0,253.0,24.73333333333333,0.6022181221670782,26.92083333333333,3.2128788616612973,46.900000000000006,2.7640549922169466,58.56666666666667,10.30258163790992,16.716666666666665,2.6033952190680987,10.525,5.507485025340318,7.733333333333333,1.3706446172026634,6.6625000000000005,1.011590439551152,163.5,28.331960751066603,210.45833333333331,39.83550870295472
30.95,71,0.0,1003.27496,10.137692,196,3,2,6,1,0,26.2,25.6,24.8,24.3,57.5,49.5,46.7,59.4,13.5,17.9,16.2,9.1,9.1,9.4,6.9,7.1,275.0,217.0,143.0,296.0,24.9,0.8461678320521097,27.041666666666668,3.1240882727976387,48.21666666666667,5.154965243982352,58.650000000000006,10.284771350843538,16.216666666666665,2.921928586852636,10.733333333333333,5.522103149019023,8.116666666666667,1.3790093062291604,6.770833333333333,1.1261628450731167,183.0,53.16765934287484,211.375,41.09036965349499
31.9,66,0.0,1003.4859,10.944532,216,4,2,6,1,0,27.5,26.2,24.6,25.6,62.6,57.5,47.0,63.6,9.7,13.5,15.1,7.9,8.8,9.1,6.9,7.2,308.0,275.0,142.0,283.0,25.35,1.3501851724855176,27.175,3.069803845879042,50.86666666666667,7.685223917796146,58.78333333333333,10.315613605499802,15.133333333333333,3.95255191827592,10.758333333333333,5.515741636181074,8.433333333333334,1.2564500255348905,6.841666666666666,1.1988823297470432,210.5,68.73354348496808,211.875,42.22230247259082
33.15,60,0.0,1003.5009,9.449572,220,5,2,6,1,0,28.1,27.5,24.0,27.2,65.2,62.6,46.6,66.4,7.3,9.7,13.5,5.8,8.3,8.8,6.8,7.0,292.0,308.0,150.0,242.0,25.933333333333334,1.6776968339561202,27.27916666666667,3.05642291159005,53.9,9.2800862064961,58.85,10.353197363721776,13.833333333333334,5.08592829940284,10.733333333333333,5.5305999884175385,8.666666666666666,1.023067283548166,6.8875,1.2336980463489458,235.5,66.06284886379036,212.25,42.9157415124708
